SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,6
NBAPT522214-BLK2,SI,0,16
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,14
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
MLBTS322210-NVY,SI,0,20
MLBTS322210-BLK,SI,0,23
MLBTS322205-NVY,SI,0,15
MLBTS322205-BLK,SI,0,25
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
MLBTS5222013-LBL,SI,0,4
PACSO522205K-ORG,NO,0,4
PACSO522206K-BLK,NO,0,4
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NFLTS622201-NVY,SI,0,4
NFLTS622201-RED1,SI,0,4
NFLCT622202-BLK1,SI,0,17
SOUTS522205-PUR,SI,27,0
NFLCT622202-NVY,SI,0,17
NFLCT622202-BLK,SI,0,17
CCJP522202-BLK,SI,21,0
BUDPT522201-BLK,SI,21,0
NASPT522202-GRY,SI,21,0
ACPT522201-BLK2,SI,21,0
LLPT522201-BLK,SI,21,0
LLSH522201-BLK,SI,21,0
NASSH522201-BLK,SI,17,0
FDPT522201-GRY,SI,21,0
UMSH523106-BLK,NO,21,0
MLBBX522223-NVY,SI,14,18
MLBBX522223-NVY1,SI,0,36
FIJS322209-YEL,SI,0,8
UMSH523103-NVY,NO,0,8
UMSH523105-BLK,NO,0,8
UMJS523103-TUR,NO,0,8
UMJS523104-LBL,NO,0,8
UMSH523101-BLK,NO,0,8
NBATS521000-BLK7,SI,44,0
NBATT322221-BLK,SI,22,0
NBACT422220-PUR,SI,0,23
NBACT422220-YEL,SI,0,23
NBACT422220-RED,SI,0,23
NBACT422220-BLK,SI,0,23
NBASH422220-BLK,SI,4,11
NBASH422220-PUR,SI,4,11
NBATT422220-BLK,SI,4,12
NBATT422220-PUR,SI,4,12
NBAHD422221-RED,SI,0,16
NBAHD422221-BLK,SI,0,5
NBAHD422221-PUR,SI,0,5
NBALG422229-PUR,SI,4,12
NBALG422229-BLK,SI,4,12
NBATS322224-BLK2,SI,32,2
NBATS322224-BLK1,SI,25,0
NBATS322224-YEL,SI,38,0
NBATS322224-BLK,SI,38,0
NBATS322224-RED,SI,38,0
NBASH322221-BLK1,SI,25,0
NBASH322221-PUR,SI,17,0
NBASH322221-BLK,SI,21,21
NBASH322220-BLK3,SI,0,13
NBASH322220-BLK4,SI,18,0
NBASH322220-BLK2,SI,18,0
NBASH322220-BLK,SI,18,0
NBATS322221-BLK1,SI,21,21
NBATS322221-WHT,SI,28,8
NBATS322221-YEL,SI,30,12
NBATS322220-PUR,SI,26,2
NBATS322220-YEL,SI,58,0
NBATS322220-BLK1,SI,45,0
NBATS322220-BLK,SI,36,6
NBATS322220-BUR,SI,49,0
NBATS422223-YEL,SI,6,10
NBATT322222-GRY,SI,28,0
NBATS322229-GRY4,SI,0,14
NBATS322229-BUR,SI,0,9
NBATS322229-BLU,SI,0,14
NBATS322229-DGRY,SI,0,14
NBASH322224-BLK4,SI,19,0
NBATT322221-BLK1,SI,32,0
NBASH322202-BLK,SI,1,28
NBATS322201-RED,SI,15,4
NBATS322201-YEL,SI,15,17
NBATS322201-GRY,SI,15,7
NBATS322201-BLK1,SI,15,0
NBASH322201-YEL,SI,1,7
NBASH322201-WHT,SI,15,19
NBASH322201-RED,SI,15,18
NBASH322201-PUR,SI,15,19
NBASH322201-BLK1,SI,15,19
NBASH322201-BLK,SI,15,3
NBAHD322201-GRY,SI,10,12
NBAHD322201-BLK1,SI,10,25
NBAHD322201-BLK,SI,10,10
NBATS522240-YEL,SI,16,0
NBAJP622202-BLK1,SI,0,18
NBAJP622201-GRY3,SI,0,19
NBAJP622201-GRY,SI,0,19
PSGSB32208-BLK,SI,0,7
NBATS522256-BLK4,SI,14,6
NBATS522256-BLK,SI,20,10
NBATS522255-PUR,SI,19,14
NBATS522254-RED,SI,9,0
NBATS522254-BLK1,SI,11,0
NBATS522253-PUR,SI,18,9
NBATS522253-BLK,SI,15,0
NBATS522253-BLK1,SI,14,0
NBATS522252-BLK4,SI,0,15
NBAHD522252-BLK4,SI,6,10
