SKU,Encontrado,Stock,Stock Futuro
NBATT52205-BLK3COP,SI,0,0
NBATS523217-BK2COP,SI,0,0
NBABN523113-BLK1COP,SI,0,0
NBAHD521001-BLKCOP,SI,0,0
141AZ-BTE-5BULLS,NO,0,0
141AZ-BTE-5CAVAL,NO,0,0
6HSSMO15-LALWHIT,NO,0,0
6HSSMO15-SASWHIT,NO,0,0
6HSSMO15-TRAWHIT,NO,0,0
6HSSTD82-BCEWHIT,NO,0,0
6HSSTD82-BNEBLCK,NO,0,0
6HSSTD82-BNEWHIT,NO,0,0
6HSSTD82-CBURED1,NO,0,0
6HSSTD82-CBUWHIT,NO,0,0
6HSSTD82-CHOTEAL,NO,0,0
6HSSTD82-CHOWHIT,NO,0,0
6HSSTD82-GSWROYA,NO,0,0
6HSSTD82-HRORED1,NO,0,0
6HSSTD82-HROWHIT,NO,0,0
6HSSTD82-LALPURP,NO,0,0
6HSSTD82-LALWHIT,NO,0,0
6HSSTD82-SASGREY,NO,0,0
6HSSTD82-SASWHIT,NO,0,0
6HSSMO15-GSWWHIT,NO,0,0
6HSSMO16-BCEKYGN,NO,0,0
6HSSMO16-BCEWHIT,NO,0,0
6HSSMO16-HROBLCK,NO,0,0
310-FGYSCU-GOLWAR,NO,0,0
309-FGYC8M-DENNUG,NO,0,0
301-FGYLBI-BOSCEL,NO,0,0
327-FGYLBJ-CLECAV,NO,0,0
359VZ-BOSCEL-GRN,NO,0,0
359VZ-BUFBRA-BLK,NO,0,0
359VZ-CHAHOR-TEA,NO,0,0
359VZ-CHIBUL-RED,NO,0,0
359VZ-CLECAV-RED,NO,0,0
359VZ-DENNUG-ROY,NO,0,0
359VZ-GOLWAR-ROY,NO,0,0
359VZ-HOUROC-NVY,NO,0,0
359VZ-LALAKE-YEL,NO,0,0
359VZ-MIAHEA-BLK,NO,0,0
359VZ-NYNETS-BLK,NO,0,0
359VZ-ORLMAG-BLK,NO,0,0
359VZ-SASPUR-BLK,NO,0,0
359VZ-TORRAP-PUR,NO,0,0
358VZ-ATLHAW-RED,NO,0,0
358VZ-BOSCEL-GRN,NO,0,0
EU1115-BNETS-BLK,NO,0,0
EU1115-BULLS-RED,NO,0,0
EU1115-CLECAV-BUR,NO,0,0
358VZ-GOLWAR-ROY,NO,0,0
358VZ-HOUROC-RED,NO,0,0
358VZ-LACLIP-RED,NO,0,0
358VZ-LALAKE-BLK,NO,0,0
353VZ-MIAHEA-BLK,NO,0,0
EU1115-MINTIM-ROY,NO,0,0
358VZ-NYKNIC-ROY,NO,0,0
358VZ-OAKCIT-SKY,NO,0,0
EU1115-PHOSUN-YEL,NO,0,0
358VZ-PORTRA-RED,NO,0,0
358VZ-SACKIN-BLK,NO,0,0
358VZ-SASPUR-BLK,NO,0,0
358VZ-TORRAP-BLK,NO,0,0
353VZ-UTAJAZ-NVY,NO,0,0
NL15Z-MINTIM-ROY,NO,0,0
NL15Z-PORTRA-BLK,NO,0,0
NL15Z-PORTRA-RED,NO,0,0
141AZ-BTE-576ERS,NO,0,0
SWTS317101-BLK,NO,0,0
STSB517101,NO,0,0
141AZ-BTE-5TRAIL,NO,0,0
141AZ-BTE-5WARRI,NO,0,0
141AZ-BTE-5NETS,NO,0,0
141AZ-BTE-5SCLIP,NO,0,0
SWTS317103-BLK,NO,0,0
SWTS317103-BLU,NO,0,0
RMJS5172013-WHT,NO,0,0
RMJS5172013-BLK,NO,0,0
RMSB517201-WHT,NO,0,0
RMSB517201-BLK,NO,0,0
RMSB517202-NVY,NO,0,0
RMSB517202-WHT,NO,0,0
RMPL5172012-NVY,NO,0,0
374VZ-TORRAP-BLK,NO,0,0
374VZ-TORRAP-PUR,NO,0,0
402VZ-ATLHAW-WHT,NO,0,0
402VZ-BALBUL-WHT,NO,0,0
402VZ-BOSCEL-WHT,NO,0,0
402VZ-BUFBRA-WHT,NO,0,0
402VZ-CHAHOR-WHT,NO,0,0
402VZ-CHIBUL-WHT,NO,0,0
402VZ-CLECAV-WHT,NO,0,0
402VZ-DENNUG-WHT,NO,0,0
402VZ-GOLWAR-WHT,NO,0,0
402VZ-LACLIP-WHT,NO,0,0
402VZ-LALAKE-WHT,NO,0,0
402VZ-MIAHEA-WHT,NO,0,0
402VZ-NJNETS-WHT,NO,0,0
402VZ-NYKNIC-WHT,NO,0,0
402VZ-ORLMAG-WHT,NO,0,0
402VZ-PHIL76-WHT,NO,0,0
402VZ-PORTRA-WHT,NO,0,0
402VZ-SASPUR-WHT,NO,0,0
402VZ-SACLIP-WHT,NO,0,0
402VZ-SFWARR-WHT,NO,0,0
402VZ-TORRAP-WHT,NO,0,0
402VZ-VANGRI-WHT,NO,0,0
401VZ-ATLHAW-WHT,NO,0,0
401VZ-BOSCEL-WHT,NO,0,0
401VZ-BRONET-WHT,NO,0,0
401VZ-CHAHOR-WHT,NO,0,0
401VZ-CHIBUL-WHT,NO,0,0
401VZ-CLECAV-WHT,NO,0,0
401VZ-DALMAV-WHT,NO,0,0
401VZ-GOLWAR-WHT,NO,0,0
401VZ-HOUROC-WHT,NO,0,0
401VZ-LALAKE-WHT,NO,0,0
401VZ-MEMGRI-WHT,NO,0,0
401VZ-MINTIM-WHT,NO,0,0
401VZ-NEWPEL-WHT,NO,0,0
401VZ-NYKNIC-WHT,NO,0,0
401VZ-PORTRA-WHT,NO,0,0
401VZ-SACKIN-WHT,NO,0,0
401VZ-SASPUR-WHT,NO,0,0
292VZ-BRONET-GRY,NO,0,0
292VZ-CHIBUL-GRY,NO,0,0
292VZ-GOLWAR-GRY,NO,0,0
292VZ-SASPUR-GRY,NO,0,0
311VZ-ATLHAW-CHA,NO,0,0
311VZ-BOSCEL-CHA,NO,0,0
311VZ-CHAHOR-CHA,NO,0,0
311VZ-CHIBUL-CHA,NO,0,0
311VZ-CLECAV-CHA,NO,0,0
311VZ-DENNUG-CHA,NO,0,0
NL15Z-VANGRI-BLK,NO,0,0
NL15Z-VANGRI-TEA,NO,0,0
NT78Z-BOSCEL-GRN,NO,0,0
NT78Z-CHAHOR-TEA,NO,0,0
NT78Z-HOUROC-GRY,NO,0,0
NT78Z-INDPAC-NVY,NO,0,0
NT78Z-LACLIP-ROY,NO,0,0
NT78Z-MINTIM-ROY,NO,0,0
NT78Z-NEWPEL-NVY,NO,0,0
NT78Z-NEWPEL-STN,NO,0,0
NT78Z-NYKNIC-ROY,NO,0,0
NT78Z-OAKCIT-NVY,NO,0,0
NT78Z-OAKCIT-SKY,NO,0,0
NT78Z-ORLMAG-BLU,NO,0,0
NT78Z-SACKIN-PUR,NO,0,0
NZ979-CHIBUL-GRY,NO,0,0
NZ979-SFWARR-ROY,NO,0,0
NZ979-SFWARR-YEL,NO,0,0
NZ979-SEASUP-GRN,NO,0,0
NZ979-VANGRI-BLK,NO,0,0
NZ979-VANGRI-TEA,NO,0,0
NL99Z-BOSCEL-GRN,NO,0,0
NL99Z-CHAHOR-PUR,NO,0,0
NL99Z-DETPIS-ROY,NO,0,0
NL99Z-MINTIM-BLK,NO,0,0
NL99Z-MINTIM-ROY,NO,0,0
NL99Z-SACKIN-BLK,NO,0,0
NL99Z-WASWIZ-NVY,NO,0,0
NL99Z-WASWIZ-RED,NO,0,0
NM04Z-ATLHAW-BLK,NO,0,0
NM04Z-BOSCEL-GRN,NO,0,0
NM04Z-BRONET-BLK,NO,0,0
NM04Z-CHAHOR-PUR,NO,0,0
NM04Z-CHIBUL-RED,NO,0,0
NM04Z-CLECAV-BUR,NO,0,0
NM04Z-GOLWAR-BLU,NO,0,0
NM04Z-LALAKE-YEL,NO,0,0
NM04Z-MEMGRI-NVY,NO,0,0
NM04Z-MINTIM-BLU,NO,0,0
NM04Z-NYKNIC-BLU,NO,0,0
NM04Z-OAKCIT-SKY,NO,0,0
NM04Z-ORLMAG-BLU,NO,0,0
NM04Z-PHIL76-BLU,NO,0,0
NM04Z-PORTRA-BLK,NO,0,0
NM04Z-TORRAP-GRY,NO,0,0
353VZ-BOSCEL-GRY,NO,0,0
353VZ-GOLWAR-GRY,NO,0,0
EU1115-MIAHEA-GRY,NO,0,0
374VZ-CHIBUL-BLK,NO,0,0
374VZ-CHIBUL-RED,NO,0,0
374VZ-PHIL76-BLK,NO,0,0
374VZ-PHIL76-RED,NO,0,0
374VZ-SASPUR-BLK,NO,0,0
374VZ-SASPUR-GRY,NO,0,0
374VZ-SFWARR-BLK,NO,0,0
374VZ-SFWARR-ROY,NO,0,0
319VZ-SASPUR-GRY,NO,0,0
319VZ-SASPUR-WHT,NO,0,0
319VZ-TORRAP-BLK,NO,0,0
319VZ-TORRAP-GRY,NO,0,0
319VZ-TORRAP-RED,NO,0,0
319VZ-TORRAP-WHT,NO,0,0
339VZ-ATLHAW-BLK,NO,0,0
339VZ-ATLHAW-RED,NO,0,0
339VZ-BALBUL-BLK,NO,0,0
339VZ-BALBUL-ROY,NO,0,0
339VZ-BOSCEL-BLK,NO,0,0
311VZ-GOLWAR-CHA,NO,0,0
311VZ-HOUROC-CHA,NO,0,0
311VZ-MINTIM-CHA,NO,0,0
311VZ-NJNETS-CHA,NO,0,0
311VZ-PORTRA-CHA,NO,0,0
311VZ-SASPUR-CHA,NO,0,0
311VZ-SFWARR-CHA,NO,0,0
311VZ-TORRAP-CHA,NO,0,0
310VZ-BOSCEL-CHA,NO,0,0
310VZ-BRONET-CHA,NO,0,0
310VZ-CHIBUL-CHA,NO,0,0
310VZ-CLECAV-CHA,NO,0,0
310VZ-GOLWAR-CHA,NO,0,0
310VZ-HOUROC-CHA,NO,0,0
310VZ-MINTIM-CHA,NO,0,0
310VZ-NYKNIC-CHA,NO,0,0
310VZ-OAKCIT-CHA,NO,0,0
310VZ-PHIL76-CHA,NO,0,0
310VZ-SASPUR-CHA,NO,0,0
310VZ-TORRAP-CHA,NO,0,0
322VZ-CHIBUL-BLK,NO,0,0
322VZ-LALAKE-BLK,NO,0,0
322VZ-SFWARR-BLK,NO,0,0
322VZ-TORRAP-PUR,NO,0,0
321VZ-BOSCEL-GRN,NO,0,0
321VZ-BRONET-BLK,NO,0,0
321VZ-CHIBUL-RED,NO,0,0
