SKU,Encontrado,Stock,Stock China,Stock Futuro
MLBSW522202-WHT,SI,0,0,0
MLBSW522202-NVY,SI,0,0,0
ACTS522201-GRY,SI,0,0,0
ACTS522201-NVY,SI,0,0,0
MLBHD522204-BLU,SI,0,0,0
MLBHD522204-NVY,SI,0,0,0
MLBPT522203-BLU,SI,0,0,0
MLBPT522203-NVY1,SI,0,0,0
ACCT622201-BLK,SI,7,0,0
CNCT622202-LBL,SI,4,0,0
CNCT622201-WHT,SI,4,0,0
CCTS522203-BUR,SI,0,0,0
STFTS522204-GRN,SI,0,0,0
STFTS522203-BLK,SI,0,0,0
STFTS522202-BLK,SI,1,0,0
STFTS522202-GRN,SI,2,0,0
STFTS522201-BLK,SI,0,0,0
KISTS622203-BLK,SI,10,0,0
KISTS622202-BLK,SI,0,0,0
KISTS622201-BLK,SI,0,0,0
KISCT622202-WHT,SI,5,0,0
KISCT622201-BLK,SI,9,0,0
KISTS522204-BLK,SI,0,0,0
NBATS622228-PUR,SI,0,0,0
NBAHD622201-BLK,SI,0,0,0
NBACT622201-RED,SI,2,0,0
NBACT622201-PUR,SI,11,0,0
NBACT622201-BLK1,SI,24,0,0
NBACT622201-BLK,SI,1,0,0
NBACJK622202-RED,SI,3,14,0
NBACJK622202-BLK,SI,4,13,0
NBATS622201-BLK,SI,6,0,0
NBASH622202-RED,SI,0,0,0
NBASH622202-PUR,SI,0,0,0
NBASH622202-BLK1,SI,0,0,0
LLTS522202-BLK,SI,0,0,0
OLHJS52202B-WHT,NO,0,0,0
NBATS622202-YLW,SI,7,0,0
OLHJS32202-WHT,NO,0,0,0
OLHJS32201-RED,NO,0,0,0
NBATS622212-BLK1,SI,9,0,0
NBATS622212-BLK,SI,2,0,0
MLBPT622201-GRY,SI,3,0,0
MLBSBR622201-BLK,SI,21,0,0
MLBCT622201-WHT,SI,0,0,0
MLBSW622201-NVY,SI,0,0,0
MLBSW622201-BLU,SI,0,0,0
MLBSW622201-BLK,SI,0,0,0
MLBSW622201-GRY,SI,0,0,0
MLBTS622202-NVY1,SI,0,0,0
MLBTS622202-BLU,SI,0,0,0
MLBTS622202-NVY,SI,0,0,0
MLBTS622202-GRY,SI,0,0,0
MLBTS622201-NVY,SI,0,0,0
MLBTS622201-WHT2,SI,0,0,0
MLBTS622201-BLU,SI,0,0,0
MLBTS622201-WHT1,SI,0,0,0
MLBTS622201-BLK,SI,0,0,0
MLBTS622201-WHT,SI,0,0,0
ROCTS522202-BLK,SI,0,0,0
MLBTS622210-LHB,SI,13,0,0
