SKU,Encontrado,Stock,Stock China,Stock Futuro
ALIJS525201-WH3,NO,0,0,0
NBAJS524104-BK1,SI,0,0,0
BCNCA324108-NV1,SI,0,0,0
RMDCA324108-NV2,SI,0,0,0
BCNWR724102-NV2,SI,1,0,0
BCNJS724102-NV3,SI,0,0,0
BCNSH724102-NV3,SI,0,0,0
BCNPT724102-NV3,SI,0,0,0
RMDCA524108-NV2,SI,0,0,0
BCNCA524108-NV1,SI,0,0,0
RMDCA524107-BL1,SI,0,0,0
BCNCA524107-NV2,SI,0,0,0
BCNCA524102-NV2,SI,0,0,0
RMDCA524102-NV1,SI,0,0,0
PSGCA524102-BK1,SI,1,0,0
BCNCA524101-NV1,SI,1,0,0
RMDCA524101-WH1,SI,1,0,0
PSGCA524101-BK1,SI,1,0,0
MLBTS524113-BL1,SI,0,0,0
NBAJS524105-RD1,SI,0,0,0
NBAJS524104-BK2,SI,0,0,0
NBAJS524104-RD1,SI,0,0,0
MLBHD524103-BK1,SI,0,2,0
MLBJS524101-BL1,SI,0,0,0
MLBTS524103-NV1,SI,0,0,0
MLBTS524102-BK3,SI,0,0,0
MLBTS524102-WH2,SI,6,0,0
MLBTS524102-RD1,SI,0,0,0
MLBTS524102-WH1,SI,0,0,0
MLBTS524102-BK1,SI,0,0,0
MLBTS524102-DG1,SI,0,0,0
MLBTS524102-NV1,SI,0,0,0
NBATS324103-WH1,SI,1,0,0
NBATS324102-AQ2,SI,1,1,0
NBATS324102-RD1,SI,1,1,0
RMDST324101-WH1,SI,0,0,0
BCNST324101-NV1,SI,0,0,0
BCNTS324103-BU1,SI,0,0,0
BCNJS324102-BU1,SI,0,0,0
BCNJS324102-NV3,SI,0,0,0
NBASW622230-RED,SI,0,0,0
NBASW622230-YEL,SI,0,0,0
NBASW622230-PUR,SI,0,0,0
NBAJP622202-BLK1,SI,0,0,0
NBAJP622201-GRY3,SI,0,0,0
NBAJP622201-GRY,SI,0,0,0
PSGSB32208-BLK,SI,6,0,0
MLBPT524106-BK1,SI,0,0,0
MLBSH524101-BK1,SI,1,0,0
MLBJS524104-WH1,SI,0,0,0
MLBTS524109-WH2,SI,0,2,0
MLBHD524103-NV1,SI,0,0,0
MLBHD524103-GY1,SI,0,2,0
NBASB522203-PUR,SI,0,0,0
NBASB522203-BLK,SI,0,0,0
NBASB522202-GRY,SI,0,0,0
NBASB522202-BLK2,SI,0,0,0
NBASB522202-BLK,SI,0,0,0
NBABC522208-BLK2,SI,0,0,0
NBACT622220-YEL,SI,0,0,0
NBACT622220-RED,SI,0,0,0
NBACT622220-BLK,SI,0,0,0
NBASW622230-BLU,SI,0,0,0
NBASW622230-BLK,SI,0,0,0
PSGPJ522203-BLK,SI,54,0,0
PSGSO522204-BLU,SI,0,0,0
PSGSO522203-WHT,SI,0,0,0
PSGSO522202-RED,SI,0,0,0
PSGSO522201-BLK,SI,0,0,0
CCSO522201-BLK,NO,0,0,0
CCPJ522202-RED,NO,0,0,0
MLBPJ522204-NVY,SI,0,0,0
MLBPJ522203-BLU,SI,0,0,0
MLBSO522204-NVY,SI,0,0,0
MLBSO522203-GRY,SI,0,0,0
MLBSO522202-NVY,SI,0,0,0
MLBSO522201-BLK,SI,0,0,0
MLBFF522202-NVY,SI,0,0,0
NBAFF522202-PUR,SI,0,0,0
NBAFF522202-RED,SI,0,0,0
MLBFF522201-NVY,SI,0,0,0
MLBFF522201-BLU,SI,0,0,0
MLBFF522201-RED,SI,0,0,0
PSGSL522202-BLU,SI,0,0,0
RMSL522201-BLU,SI,0,0,0
PSGSL522201-BLK,SI,0,0,0
NBASL522202-PUR,SI,0,0,0
NBASL522202-RED,SI,0,0,0
NBASL522201-PUR,SI,0,0,0
NBASL522201-RED,SI,0,0,0
MLBSL522201-NVY,SI,0,0,0
MLBSL522201-BLK,SI,0,0,0
MLBSL522201-BLU,SI,0,0,0
RMSB522211-NVY,SI,0,0,0
RMSB522210-BLK,SI,0,0,0
RMSB522209-WHT,SI,0,0,0
NBASL522207-PUR,SI,0,0,0
NBASL522207-BLK,SI,0,0,0
RMSB522202-GRY,SI,0,0,0
RMSB522201-GRY,SI,1,0,0
RMSB522201-BLU,SI,0,0,0
PSGSB522208-BLU,SI,0,0,0
PSGSB522205-NVY,SI,0,0,0
PSGSB522203-NVY,SI,0,0,0
PSGSB522202-BLK,SI,0,0,0
